u,v,weight
ABL1,LRBA,1.0
ABL1,LRP2,1.0
ABL1,LRRK1,1.0
ABL1,LTBP2,1.0
ABL1,MAP4K1,1.0
ABL1,MAP4K5,1.0
ABL1,MAVS,1.0
ABL1,MDM2,1.0
ABL1,MED14,1.0
ABL1,MED25,1.0
ABL1,MEPE,1.0
ABL1,MICAL1,1.0
ABL1,MKI67,1.0
ABL1,MLL4,1.0
ABL1,MSH5,1.0
ABL1,MTOR,1.0
ABL1,MUC1,1.0
ABL1,NBEA,1.0
ABL1,NCK1,1.0
ABL1,NCKAP5,1.0
ABL1,NCKIPSD,1.0
ABL1,NCOA3,1.0
ABL1,NCSTN,1.0
ABL1,NEDD9,1.0
ABL1,NEK8,1.0
ABL1,NFASC,1.0
ABL1,NFKBIA,1.0
ABL1,NFS1,1.0
ABL1,NKX2-1,1.0
ABL1,NOTCH3,1.0
ABL1,NPVF,1.0
ABL1,NTRK1,1.0
ABL1,NXPH3,1.0
ABL1,OGN,1.0
ABL1,ORC1,1.0
ABL1,OSBPL5,1.0
ABL1,PAG1,1.0
ABL1,PAK2,1.0
ABL1,PARK2,1.0
ABL1,PAX3,1.0
ABL1,PCDHA7,1.0
ABL1,PDE4D,1.0
ABL1,PDIA2,1.0
ABL1,PIK3R1,1.0
ABL1,PKD1,1.0
ABL1,PLCG1,1.0
ABL1,PLSCR1,1.0
ABL1,POLD1,1.0
ABL1,PPP3CA,1.0
ABL1,PRDX1,1.0
ABL1,PRICKLE3,1.0
ABL1,PRKCD,1.0
ABL1,PRKDC,1.0
ABL1,PRX,1.0
ABL1,PSTPIP1,1.0
ABL1,PTPN1,1.0
ABL1,PTPN4,1.0
ABL1,PTPN6,1.0
ABL1,PXN,1.0
ABL1,RAD51,1.0
ABL1,RAD9A,1.0
ABL1,RAN,1.0
ABL1,RAPGEF1,1.0
ABL1,RASA1,1.0
ABL1,RB1,1.0
ABL1,RFX1,1.0
ABL1,RGS20,1.0
ABL1,RIMS1,1.0
ABL1,RIN1,1.0
ABL1,RIN3,1.0
ABL1,ROBO1,1.0
