u,v,weight
YKT6,TRAPPC3,1.0
YKT6,STX1A,1.0
YKT6,SNAP25,1.0
YKT6,VAMP2,1.0
YKT6,SLC2A4,1.0
YKT6,VAMP3,1.0
YKT6,GOLGA5,1.0
YKT6,SNAP29,1.0
YKT6,LNPEP,1.0
YKT6,VAMP4,1.0
YKT6,SNAP23,1.0
YKT6,STX6,1.0
YKT6,MAN2A1,1.0
YKT6,VAMP7,1.0
YKT6,VAMP8,1.0
YKT6,STX8,1.0
YKT6,VAMP5,1.0
YKT6,VPS41,1.0
YKT6,STX4,1.0
YKT6,VPS39,1.0
YKT6,STX3,1.0
YKT6,MAN1A2,1.0
YKT6,CUX1,1.0
YKT6,PCMT1,1.0
YKT6,STX11,1.0
YKT6,STX7,1.0
YKT6,UFC1,1.0
YKT6,MAN1A1,1.0
YKT6,STX16,1.0
YKT6,STX12,1.0
YKT6,MAN1C1,1.0
YKT6,STXBP4,1.0
YKT6,RFK,1.0
YKT6,VPS16,1.0
YKT6,VTI1A,1.0
YKT6,VAMP1,1.0
YKT6,GOLIM4,1.0
YKT6,VTI1B,1.0
YKT6,MAN2A2,1.0
YKT6,STX10,1.0
GOSR2,GOSR1,1.0
GOSR2,COPB1,1.0
GOSR2,ACTR10,1.0
GOSR2,DYNC1LI2,1.0
GOSR2,COG3,1.0
GOSR2,KDELR2,1.0
GOSR2,DCTN3,1.0
GOSR2,TMED2,1.0
GOSR2,COPE,1.0
GOSR2,CAPZA1,1.0
GOSR2,NAPA,1.0
GOSR2,SPTBN4,1.0
GOSR2,ARCN1,1.0
GOSR2,ANK1,1.0
GOSR2,TMEM115,1.0
GOSR2,DYNC1LI1,1.0
GOSR2,ANK3,1.0
GOSR2,STX5,1.0
GOSR2,COG5,1.0
GOSR2,TMED3,1.0
GOSR2,COG1,1.0
GOSR2,DCTN5,1.0
GOSR2,TMED10,1.0
GOSR2,COG7,1.0
GOSR2,COG8,1.0
GOSR2,RAB1B,1.0
GOSR2,GORASP1,1.0
GOSR2,COG4,1.0
GOSR2,SPTBN5,1.0
GOSR2,DYNC1I1,1.0
GOSR2,NAPG,1.0
GOSR2,COPG1,1.0
GOSR2,CAPZA3,1.0
GOSR2,COPB2,1.0
GOSR2,KDELR1,1.0
GOSR2,TMED9,1.0
GOSR2,DYNC1H1,1.0
GOSR2,SPTBN1,1.0
GOSR2,ANK2,1.0
GOSR2,DCTN1,1.0
GOSR2,CAPZA2,1.0
GOSR2,COG2,1.0
GOSR2,CD55,1.0
GOSR2,COPA,1.0
GOSR2,SPTA1,1.0
GOSR2,ACTR1A,1.0
GOSR2,GBF1,1.0
GOSR2,SPTAN1,1.0
GOSR2,BET1L,1.0
GOSR2,DYNLL1,1.0
GOSR2,GOLGB1,1.0
GOSR2,FOLR1,1.0
