u,v,weight
ABL1,PSTPIP1,1.0
ABL1,PTPN6,1.0
ABL1,RAD21,1.0
ABL1,RAD51,1.0
ABL1,RAD9A,1.0
ABL1,RAN,1.0
ABL1,RB1,1.0
ABL1,RDBP,1.0
ABL1,RFX1,1.0
ABL1,RYBP,1.0
ABL1,SETDB1,1.0
ABL1,SH3BP1,1.0
ABL1,SHC1,1.0
ABL1,SHD,1.0
ABL1,SHE,1.0
ABL1,SIRT6,1.0
ABL1,SLC9A2,1.0
ABL1,SMARCA4,1.0
ABL1,SMARCB1,1.0
ABL1,SMC3,1.0
ABL1,SORBS1,1.0
ABL1,SORBS2,1.0
ABL1,SOS1,1.0
ABL1,SPTA1,1.0
ABL1,SPTAN1,1.0
ABL1,SRC,1.0
ABL1,ST5,1.0
ABL1,STAT1,1.0
ABL1,STK4,1.0
ABL1,TERF1,1.0
ABL1,TOPBP1,1.0
ABL1,TP53,1.0
ABL1,TP73,1.0
ABL1,TRIM28,1.0
ABL1,TUB,1.0
ABL1,UBC,1.0
ABL1,USF2,1.0
ABL1,VAV1,1.0
ABL1,XRCC4,1.0
ABL1,XRCC6,1.0
ABL1,YTHDC1,1.0
ABL1,ZAP70,1.0
ABL1,ZBTB33,1.0
ABL1,ZDHHC16,1.0
ABL1,ZNF263,1.0
ABL1,ZNF274,1.0
ABL2,C11ORF9,1.0
ABL2,CAMKK1,1.0
ABL2,CAT,1.0
ABL2,CBL,1.0
ABL2,CHGB,1.0
ABL2,CMTM2,1.0
ABL2,CSRP1,1.0
ABL2,CSRP3,1.0
ABL2,EPHB2,1.0
ABL2,EXOSC7,1.0
ABL2,HLCS,1.0
ABL2,JAK1,1.0
ABL2,KHDRBS1,1.0
ABL2,LAS1L,1.0
ABL2,LOC51035,1.0
ABL2,LRRFIP1,1.0
ABL2,MAP3K10,1.0
ABL2,MTA1,1.0
ABL2,OTUD7B,1.0
ABL2,PAGE4,1.0
ABL2,PDCD5,1.0
ABL2,POLD4,1.0
ABL2,POP7,1.0
ABL2,PROSAPIP1,1.0
ABL2,RBPMS,1.0
ABL2,RUVBL1,1.0
ABL2,SORBS2,1.0
ABL2,SPAG7,1.0
ABL2,STAT3,1.0
ABL2,TBX20,1.0
ABL2,WDR45L,1.0
ABL2,ZDHHC5,1.0
ABL2,ZNF428,1.0
ABLIM1,BEGAIN,1.0
ABLIM1,CALCOCO2,1.0
ABLIM1,GOLGA2,1.0
ABLIM1,HOOK2,1.0
ABLIM1,KCNJ12,1.0
ABLIM1,KRT15,1.0
ABLIM1,LDOC1,1.0
ABLIM1,SFN,1.0
ABLIM1,SREBF2,1.0
ABLIM1,STAT3,1.0
ABLIM1,TRAF2,1.0
ABLIM1,TSC22D4,1.0
ABLIM1,USHBP1,1.0
ABLIM1,VIM,1.0
ABLIM2,CEBPB,1.0
ABLIM2,SREBF2,1.0
ABLIM2,ZNF143,1.0
ABLIM3,ACTC1,1.0
ABLIM3,FOS,1.0
ABLIM3,PAX5,1.0
ABP1,AGMAT,1.0
ABP1,AKR1B1,1.0
ABP1,AKR1B10,1.0
ABP1,ALDH1A3,1.0
ABP1,ALDH1B1,1.0
ABP1,ALDH2,1.0
ABP1,ALDH3A1,1.0
ABP1,ALDH7A1,1.0
ABP1,ALDH9A1,1.0
ABP1,AOC2,1.0
ABP1,AOC3,1.0
ABP1,DDC,1.0
ABP1,GLO1,1.0
ABP1,GRHPR,1.0
ABP1,HDC,1.0
ABP1,HSD3B7,1.0
ABP1,ODC1,1.0
ABP1,RDH11,1.0
ABP1,RDH12,1.0
ABP1,RDH13,1.0
ABP1,RDH14,1.0
ABP1,SAT1,1.0
ABP1,SAT2,1.0
ABP1,SRM,1.0
ABP1,TYR,1.0
ABR,CTCF,1.0
ABT1,ATF3,1.0
ABT1,CEBPB,1.0
ABT1,EP300,1.0
ABT1,GTF2B,1.0
ABT1,SPI1,1.0
ABTB1,DNTTIP1,1.0
ABTB2,CUL3,1.0
ABTB2,DNTT,1.0
ABTB2,EEF1A1,1.0
ABTB2,RAD21,1.0
ABTB2,RBX1,1.0
ABTB2,UBC,1.0
ACAA1,ACAA2,1.0
ACAA1,ACACA,1.0
ACAA1,ACACB,1.0
ACAA1,ACADM,1.0
ACAA1,ACAT1,1.0
ACAA1,ACAT2,1.0
ACAA1,ACLY,1.0
ACAA1,ACOT12,1.0
ACAA1,ACOX1,1.0
ACAA1,ACOX3,1.0
ACAA1,ACSS1,1.0
ACAA1,ACSS2,1.0
ACAA1,AKR1B10,1.0
ACAA1,ALDH6A1,1.0
ACAA1,BAAT,1.0
ACAA1,CS,1.0
ACAA1,DLAT,1.0
ACAA1,ELOVL6,1.0
ACAA1,FASN,1.0
ACAA1,HADH,1.0
ACAA1,HADHA,1.0
ACAA1,HADHB,1.0
ACAA1,HMGCL,1.0
ACAA1,HMGCS1,1.0
ACAA1,HMGCS2,1.0
ACAA1,HSD17B10,1.0
ACAA1,HSD17B4,1.0
ACAA1,HSD3B7,1.0
ACAA1,MLYCD,1.0
ACAA1,PCCA,1.0
ACAA1,PCCB,1.0
ACAA1,RDH11,1.0
ACAA1,RDH12,1.0
ACAA1,RDH13,1.0
ACAA1,RDH14,1.0
ACAA1,SLC27A5,1.0
ACAA1,SPI1,1.0
ACAA2,ACACA,1.0
ACAA2,ACACB,1.0
ACAA2,ACADM,1.0
ACAA2,ACADS,1.0
ACAA2,ACAT1,1.0
ACAA2,ACAT2,1.0
ACAA2,ACLY,1.0
ACAA2,ACOT12,1.0
ACAA2,ACOX1,1.0
ACAA2,ACOX3,1.0
ACAA2,ACSM1,1.0
ACAA2,ACSS1,1.0
ACAA2,ACSS2,1.0
ACAA2,AKR1B10,1.0
ACAA2,ALDH6A1,1.0
ACAA2,BAAT,1.0
ACAA2,CS,1.0
ACAA2,DLAT,1.0
ACAA2,ELOVL6,1.0
ACAA2,FASN,1.0
ACAA2,HADH,1.0
ACAA2,HADHA,1.0
ACAA2,HADHB,1.0
ACAA2,HMGCL,1.0
ACAA2,HMGCS1,1.0
ACAA2,HMGCS2,1.0
ACAA2,HSD17B10,1.0
ACAA2,HSD17B4,1.0
ACAA2,HSD3B7,1.0
ACAA2,MLYCD,1.0
ACAA2,PCCA,1.0
ACAA2,PCCB,1.0
ACAA2,RDH11,1.0
ACAA2,RDH12,1.0
ACAA2,RDH13,1.0
ACAA2,RDH14,1.0
ACAA2,SLC27A5,1.0
ACACA,ACACB,1.0
ACACA,ACAT1,1.0
ACACA,ACAT2,1.0
ACACA,ACLY,1.0
ACACA,ACOT12,1.0
ACACA,ACSS1,1.0
ACACA,ACSS2,1.0
ACACA,AKR1B10,1.0
ACACA,ALDH6A1,1.0
ACACA,BRCA1,1.0
ACACA,CHGB,1.0
ACACA,CS,1.0
ACACA,DLAT,1.0
ACACA,E2F1,1.0
ACACA,FASN,1.0
ACACA,HADHB,1.0
ACACA,HLCS,1.0
ACACA,HMGCL,1.0
ACACA,HMGCS1,1.0
ACACA,HMGCS2,1.0
ACACA,HSD3B7,1.0
ACACA,MLLT1,1.0
